x,y,u,v,S
10.871035,4.426153,0.988127,-0.005563,8.418638
10.773972,4.662654,0.981200,-0.003832,8.358077
10.871035,4.996857,0.991486,-0.002611,8.286968
10.773972,5.254482,0.983688,-0.001425,8.206304
10.871035,5.621143,0.993265,-0.000331,8.116017
10.773972,5.900620,0.984905,0.000678,8.017811
10.773972,6.194683,0.985206,0.001594,7.927385
10.773972,6.499232,0.985439,0.002494,7.831865
10.773972,6.814382,0.985635,0.003286,7.731662
10.584955,6.960630,0.968406,0.003732,7.644243
10.773972,7.363448,0.985597,0.004044,7.552611
10.773972,7.707299,0.985347,0.004070,7.438375
10.584955,7.861512,0.967920,0.004083,7.341126
10.773972,8.304574,0.985028,0.004316,7.241271
10.584955,8.463207,0.967515,0.004538,7.139153
10.584955,8.712238,0.967237,0.004649,7.055425
10.773972,9.191748,0.984096,0.004558,6.948847
10.584955,9.355693,0.966422,0.003954,6.841044
10.584955,9.621407,0.966137,0.003536,6.754219
10.584955,9.891866,0.965851,0.003233,6.666785
10.584955,10.167053,0.965544,0.002860,6.578709
10.584955,10.446948,0.965317,0.002452,6.490804
10.773972,10.996570,0.982444,0.002480,6.381638
10.584955,11.167136,0.965239,0.002860,6.273290
10.584955,11.463316,0.965239,0.003005,6.186328
10.584955,11.764078,0.965213,0.002966,6.099273
10.055707,11.392869,0.916865,0.002621,6.033664
10.584955,12.223731,0.964981,0.002537,5.967835
10.584955,12.535779,0.964779,0.002258,5.880336
10.584955,12.852266,0.964553,0.001767,5.793124
10.584955,13.173140,0.964343,0.001247,5.706550
10.584955,13.498352,0.964081,0.000928,5.620276
10.584955,13.827845,0.963711,0.000736,5.534091
10.055707,13.373728,0.915235,0.000502,5.469830
10.584955,14.329984,0.963186,0.000448,5.406467
10.584955,14.669918,0.962995,0.000364,5.323361
10.055707,14.181042,0.914743,0.000305,5.261843
10.584955,15.187413,0.962801,0.000531,5.200924
10.584955,15.537370,0.962656,0.000687,5.120431
10.584955,15.891209,0.962470,0.000495,5.040754
10.055707,15.351021,0.914215,0.000448,4.981741
10.584955,16.429070,0.962209,0.000528,4.923379
10.055707,15.865957,0.914012,0.000456,4.865856
10.584955,16.975208,0.962092,0.000477,4.809265
10.584955,17.343752,0.962100,0.000709,4.735064
10.055707,16.741212,0.913963,0.000823,4.680008
10.584955,17.903021,0.961979,0.000692,4.625333
10.055707,17.276102,0.913794,0.000289,4.571365
11.020965,-17.898722,0.962455,0.000076,4.578835
10.469917,-16.736033,0.914610,0.000011,4.633006
11.020965,-17.337161,0.963066,0.000158,4.687915
11.020965,-16.967121,0.963470,0.000396,4.762044
10.469917,-15.857232,0.915546,0.000399,4.818192
11.020965,-16.418805,0.963928,0.000449,4.874552
10.469917,-15.340267,0.915881,0.000671,4.931347
11.020965,-15.878859,0.964234,0.001010,4.988609
11.020965,-15.523689,0.964463,0.000722,5.065984
10.469917,-14.496776,0.916457,-0.000042,5.124946
11.020965,-14.998332,0.964951,-0.000748,5.184526
